Source,Type,Target,Weight
Вестник,Undirected,Друзья,1
Вестник,Undirected,Кормилица,1
Вестник,Undirected,Прислужницы,1
Вестник,Undirected,Слуга,1
Вестник,Undirected,Тезей,1
Друзья,Undirected,Ипполит,1
Друзья,Undirected,Кормилица,1
Друзья,Undirected,Прислужницы,1
Друзья,Undirected,Слуга,2
Друзья,Undirected,Тезей,1
Друзья,Undirected,Федра,1
Ипполит,Undirected,Слуга,2
Ипполит,Undirected,Федра,2
Кормилица,Undirected,Прислужницы,2
Кормилица,Undirected,Слуга,1
Кормилица,Undirected,Тезей,1
Кормилица,Undirected,Федра,1
Прислужницы,Undirected,Слуга,1
Прислужницы,Undirected,Тезей,1
Прислужницы,Undirected,Федра,1
Слуга,Undirected,Тезей,1
Слуга,Undirected,Федра,2
